epoch,train_loss,val_loss,val_f1,val_accuracy,val_precision,val_recall
1,0.27272417376645997,0.9995825233014928,0.4673239069926388,0.46701846965699206,0.4613572566763541,0.6477131542164933
2,0.13842319354665852,0.2555590742312719,0.789542041745031,0.9335971855760774,0.916296906693712,0.8014092134398768
3,0.14397587175344095,0.18482633564119919,0.7914925371037306,0.9340369393139841,0.9165357890729107,0.8027390006739193
4,0.13938170661351645,0.20490185088144652,0.7875756270673847,0.9331574318381706,0.9160585385930475,0.8000794262058342
5,0.13769335044137376,0.10779903503421534,0.9042882969480747,0.961301671064204,0.8885078498332533,0.9272374994056064
6,0.13750579743289146,0.21203731098716053,0.924135330018817,0.974934036939314,0.9412558188743123,0.9264092134398768
7,0.11955184076982217,0.15743631263416696,0.7914925371037306,0.9340369393139841,0.9165357890729107,0.8027390006739193
8,0.11509208639015892,0.44176958072783135,0.7784480873767967,0.8500439753737907,0.7757173252704217,0.8502910273861417
9,0.11354540981638818,0.12665416655460784,0.7914925371037306,0.9340369393139841,0.9165357890729107,0.8027390006739193
10,0.12403318035592084,0.543019012022983,0.5314538480157305,0.6182937554969217,0.5652713367504678,0.6900112220333436
11,0.10895852894143307,0.10366506425691678,0.7919880091881033,0.9349164467897977,0.9170151033386328,0.8031914893617021
12,0.10931650081990682,0.36487919228477445,0.7951255880462065,0.8680738786279684,0.7846770617794856,0.8626048299425376
13,0.10136032586841914,0.388377633709182,0.7979881687123331,0.8707124010554089,0.7856530567166208,0.8645854312790857
14,0.1007020202570448,0.10023968696279702,0.8028727577121251,0.9366754617414248,0.9179799770070894,0.8107177240781747
15,0.09404450309886259,0.16493999766695364,0.5831446040249363,0.8839050131926122,0.5587730118308664,0.6125794262058342
16,0.09087562958093617,0.08239143314257776,0.9334779569327696,0.978891820580475,0.9439438502673797,0.9383772985462597
17,0.09978626320547242,1.7766026201852079,0.49331536091282646,0.600263852242744,0.44074767390341163,0.6365155964186002
18,0.091683561417229,0.32440788321780234,0.8065727023031659,0.8795074758135444,0.7906370418600688,0.870668156339913
19,0.08707525441622009,0.22477194303835077,0.8847758497334004,0.9533861037818822,0.9675325325325326,0.8590425531914894
20,0.08099455277234893,0.07006861057489612,0.9329902120413553,0.9793315743183817,0.9442461450599657,0.9375
21,0.07747353400663384,0.33833250987917685,0.795547033447622,0.8685136323658751,0.7849033190102237,0.862908966195579
22,0.08155291918669852,0.21011870385212342,0.8663085564453152,0.9467897977132805,0.9284728417738126,0.8347300281011643
23,0.07659430728514205,0.13300635160431068,0.8605190265013649,0.9296394019349165,0.8334188326493388,0.9051839053683284
24,0.061296853485659275,0.41051399270064387,0.7951255880462065,0.8680738786279684,0.7846770617794856,0.8626048299425376
25,0.07118983355171268,0.8484035253839317,0.7360342108555051,0.8038698328935796,0.7605698529411764,0.8182009369984987
26,0.06296338979459103,0.4942275364354921,0.7951255880462065,0.8680738786279684,0.7846770617794856,0.8626048299425376
27,0.04506426357569842,0.2178973651105307,0.6335304906524457,0.8927000879507476,0.8177126187448576,0.640606182256122
28,0.04965939751954257,0.10698923906319584,0.873219409694464,0.9397537379067722,0.8469806007509386,0.9121790391882797
29,0.04685398868113554,0.1254603090051401,0.6617024767996424,0.9221635883905013,0.623822188449848,0.726063829787234
30,0.04401340019861323,0.2885183209427219,0.5868145629020352,0.886103781882146,0.5619538584488921,0.6170212765957447
31,0.05066731173501119,0.5189075666031716,0.7905154131720067,0.8632365875109939,0.7822612541349058,0.8592593311590826
32,0.04407874666028929,0.042114472634297455,0.9859012348799528,0.9929639401934917,0.9940829316524533,0.9784808644453366
33,0.03858604735794769,0.12136259906996523,0.7810884874404616,0.9265611257695691,0.8669018680153356,0.755611869396494
34,0.0408323776420673,0.08404275281526798,0.8654424226207718,0.9529463500439753,0.9116279993643731,0.8429178375485079
